packet_count,byte_count,avg_packet_size,tcp_count,udp_count,icmp_count,arp_count,unique_dst_ports,packets_per_second,in_out_ratio,fluctuation,syn_only_count,http_count,label
2,120,60.0,0,0,2,0,0,3.9630388843824216,1.0,0.0,0,0,0
6,252,42.0,0,0,6,0,0,11.985517834571455,0.8333333333333334,0.14335430024841114,0,0,0
5,210,42.0,0,0,5,0,0,9.986067184171254,0.8,0.1528765392737767,0,0,0
2,120,60.0,0,0,2,0,0,3.957870699111808,1.0,0.0,0,0,0
6,252,42.0,0,0,6,0,0,11.995395520499228,0.8333333333333334,0.14205048265981085,0,0,0
4,168,42.0,0,0,4,0,0,7.988823314854725,0.75,0.1551827379093982,0,0,0
2,120,60.0,0,0,2,0,0,3.9681736560370715,1.0,0.0,0,0,0
5,210,42.0,0,0,5,0,0,9.346101104382187,0.8,0.16418233956216782,0,0,0
6,252,42.0,0,0,6,0,0,11.992525944037983,0.8333333333333334,0.14953387325142664,0,0,0
2,120,60.0,0,0,2,0,0,3.9564949165460814,1.0,0.0,0,0,0
6,252,42.0,0,0,6,0,0,11.97002858158022,0.8333333333333334,0.14847335014014548,0,0,0
3,180,60.0,0,0,2,1,0,5.448822798349276,1.0,0.24728398958311745,0,0,0
8,336,42.0,0,0,7,1,0,11.185951633733307,0.625,0.10442053469758865,0,0,0
6,252,42.0,0,0,6,0,0,11.946821414041482,0.8333333333333334,0.13780456413510345,0,0,0
2,120,60.0,0,0,2,0,0,3.9445489654303305,1.0,0.0,0,0,0
5,210,42.0,0,0,5,0,0,9.998460053159155,0.8,0.14442557794848457,0,0,0
5,210,42.0,0,0,5,0,0,9.997802263811295,0.8,0.1444435084362201,0,0,0
2,120,60.0,0,0,2,0,0,3.976789520392606,1.0,0.0,0,0,0
8,336,42.0,0,0,8,0,0,15.995820184011059,0.875,0.12142610036275839,0,0,0
2,120,60.0,0,0,2,0,0,3.898298405475439,1.0,0.0,0,0,0
6,252,42.0,0,0,6,0,0,11.716434782122883,0.6666666666666666,0.13870669262170485,0,0,0
6,252,42.0,0,0,6,0,0,11.954301056114735,0.8333333333333334,0.1352495438359623,0,0,0
2,120,60.0,0,0,2,0,0,3.9555154646710085,1.0,0.0,0,0,0
5,210,42.0,0,0,5,0,0,9.996796680751102,0.8,0.1428267508042259,0,0,0
6,252,42.0,0,0,6,0,0,11.972203893300781,0.8333333333333334,0.1346080330323539,0,0,0
2,120,60.0,0,0,2,0,0,3.9169560901264187,1.0,0.0,0,0,0
8,336,42.0,0,0,8,0,0,10.281366435266895,0.75,0.1383481738474635,0,0,0
2,120,60.0,0,0,2,0,0,3.9762522888574887,1.0,0.0,0,0,0
6,252,42.0,0,0,6,0,0,11.960709891109536,0.8333333333333334,0.1370058323058539,0,0,0
5,210,42.0,0,0,5,0,0,9.892002445227655,0.8,0.14699103730977303,0,0,0
2,120,60.0,0,0,2,0,0,3.9761768995557225,1.0,0.0,0,0,0
5,210,42.0,0,0,5,0,0,9.923476002733135,0.8,0.1458126229264678,0,0,0
5,210,42.0,0,0,5,0,0,9.927609915339767,0.8,0.14613096823495242,0,0,0
2,120,60.0,0,0,2,0,0,3.972497609712877,1.0,0.0,0,0,0
5,210,42.0,0,0,5,0,0,9.25820121376507,0.8,0.15415450012068196,0,0,0
6,252,42.0,0,0,6,0,0,11.985580625573006,0.8333333333333334,0.1353620963062924,0,0,0
2,120,60.0,0,0,2,0,0,3.9539213948770544,1.0,0.0,0,0,0
5,210,42.0,0,0,5,0,0,9.983780507950502,0.8,0.1425044047604613,0,0,0
5,210,42.0,0,0,5,0,0,9.998383783291562,0.8,0.14271992299007202,0,0,0
2,120,60.0,0,0,2,0,0,3.6335791495840617,1.0,0.0,0,0,0
4,168,42.0,0,0,4,0,0,7.942651922506999,0.75,0.14987717651489235,0,0,0
5,210,42.0,0,0,5,0,0,9.983652180867624,0.8,0.14624961069507325,0,0,0
2,120,60.0,0,0,2,0,0,3.949816296001925,1.0,0.0,0,0,0
5,210,42.0,0,0,5,0,0,9.995748420910143,0.8,0.14670934742236783,0,0,0
7,294,42.0,0,0,7,0,0,13.976474306915563,0.8571428571428571,0.13029103350799578,0,0,0
2,120,60.0,0,0,2,0,0,3.928983662270533,1.0,0.0,0,0,0
5,210,42.0,0,0,5,0,0,9.990182034886407,0.8,0.14959624505124422,0,0,0
3,126,42.0,0,0,3,0,0,5.9427165909358175,0.6666666666666666,0.11376125621405878,0,0,0
2,120,60.0,0,0,2,0,0,3.9028435467707103,1.0,0.0,0,0,0
5,210,42.0,0,0,5,0,0,9.948000914561547,0.8,0.15963052644439896,0,0,0
6,252,42.0,0,0,6,0,0,11.975753284242204,0.8333333333333334,0.1483252676190705,0,0,0
2,120,60.0,0,0,2,0,0,3.773128528055774,1.0,0.0,0,0,0
5,210,42.0,0,0,5,0,0,9.956852020662412,0.8,0.17113160715557216,0,0,0
4,168,42.0,0,0,4,0,0,7.978872927966595,0.75,0.19338404384127972,0,0,0
